train_loss,valid_loss
35488236.0,33506072.0
33339414.0,33234712.0
33046818.0,33019972.0
32814628.0,32821718.0
32601004.0,32634034.0
32396170.0,32466678.0
32214052.0,32320634.0
32056334.0,32178606.0
31905404.0,32035502.0
31752926.0,31891608.0
31598218.0,31748712.0
31443982.0,31622814.0
31294858.0,31527042.0
31168206.0,31377398.0
31023470.0,31229020.0
30898956.0,31090130.0
30766972.0,30951456.0
30625034.0,30817622.0
30475536.0,30770876.0
30392732.0,30572526.0
30202926.0,30419322.0
30070642.0,30270360.0
29936596.0,30141070.0
29806644.0,30016598.0
29673540.0,29902012.0
29539584.0,29794770.0
29405862.0,29692778.0
29272516.0,29598116.0
29138556.0,29511506.0
29003912.0,29400316.0
28867494.0,29263208.0
28731846.0,29108172.0
28596784.0,28955064.0
28462290.0,28807506.0
28326356.0,28681630.0
28197404.0,28540374.0
28063898.0,28386606.0
27922402.0,28231106.0
27786122.0,28058700.0
27637008.0,27865656.0
27491454.0,27700054.0
27356608.0,27531990.0
27209868.0,27386104.0
27073536.0,27232970.0
26939162.0,27058258.0
26795066.0,26925686.0
26658048.0,26829850.0
26510908.0,26727090.0
26374100.0,26612658.0
26248806.0,26455706.0
26124422.0,26306944.0
25997950.0,26212078.0
25862098.0,26053252.0
25724302.0,25875812.0
25590438.0,25695840.0
25467870.0,25451940.0
25330644.0,25379634.0
25186052.0,25254566.0
25070832.0,25020266.0
24965544.0,24906444.0
24827152.0,24818080.0
24711252.0,24654748.0
24597116.0,24471460.0
24457202.0,24347530.0
24345798.0,24239338.0
24240646.0,24156292.0
24143104.0,23880878.0
24040494.0,23925112.0
23918128.0,23648346.0
23822280.0,23594004.0
23671552.0,23698672.0
23691720.0,23215206.0
23452902.0,23390514.0
23389008.0,23290926.0
23203474.0,23027748.0
23148058.0,22840606.0
22973486.0,22987500.0
22908316.0,22756388.0
22753518.0,22630200.0
22695248.0,22425192.0
22532106.0,22435460.0
22469858.0,22245500.0
22379060.0,22185276.0
22292342.0,22024520.0
22161908.0,22070134.0
22101728.0,21887206.0
21956414.0,21747778.0
21862166.0,21636064.0
21758694.0,21570004.0
21649656.0,21558538.0
21585090.0,21358628.0
21477930.0,21280762.0
21377564.0,21170344.0
21273332.0,21583414.0
21623652.0,20943806.0
21139086.0,21259350.0
21558482.0,20794582.0
20956224.0,20958446.0
21091598.0,20536172.0
20772428.0,20689500.0
20913088.0,20451178.0
20687820.0,20467314.0
20713420.0,20073474.0
20480412.0,20257978.0
20494718.0,20267734.0
20383508.0,20077594.0
20219350.0,20197634.0
20246938.0,20045412.0
20039792.0,20119380.0
20066818.0,19993610.0
19895044.0,19835274.0
19863766.0,19703306.0
19735164.0,19716234.0
19699230.0,19552576.0
19576202.0,19488570.0
19523102.0,19375998.0
19411666.0,19282852.0
19369190.0,19155556.0
19257622.0,19187514.0
19217578.0,18996342.0
19102316.0,18934684.0
19064090.0,18909478.0
18950986.0,18909100.0
18906450.0,18830322.0
18834364.0,18755552.0
18743466.0,18739200.0
18701400.0,18585266.0
18613196.0,18508676.0
18533514.0,18487006.0
18488610.0,18349104.0
18404798.0,18237918.0
18331004.0,18195666.0
18277676.0,18068992.0
18203392.0,18013020.0
18132568.0,18039334.0
18075530.0,17953878.0
18004578.0,17929370.0
17928792.0,17927896.0
17876908.0,17859428.0
17817446.0,17836430.0
17743858.0,17803392.0
17686646.0,17695844.0
17631752.0,17656732.0
17563274.0,17547130.0
17501922.0,17501798.0
17447060.0,17463688.0
17400096.0,17440596.0
17356964.0,17376044.0
17326110.0,17365426.0
17280128.0,17217628.0
17183716.0,17177562.0
17102300.0,17109258.0
17036088.0,17070810.0
16972526.0,17044466.0
16916734.0,16992510.0
16872034.0,17034240.0
16843128.0,16972474.0
16840982.0,17028158.0
16879126.0,16780750.0
16659152.0,16727795.0
16648097.0,16830810.0
16719064.0,16608763.0
16529177.0,16666857.0
16744484.0,17877778.0
17659628.0,18453176.0
18245286.0,18385688.0
18217772.0,18031954.0
17839946.0,17795610.0
17696660.0,17691852.0
17752130.0,17460254.0
17497096.0,17378560.0
17339586.0,17178032.0
17139606.0,17177802.0
17136028.0,17138998.0
17025112.0,17116694.0
16977650.0,16853758.0
16847518.0,16706688.0
16729822.0,16704020.0
16603067.0,16586432.0
16492327.0,16452546.0
16450204.0,16451308.0
16343511.0,16370933.0
16244313.0,16141304.0
16110914.0,16015397.0
16012961.0,16042978.0
15931536.0,15925571.0
