train_loss,valid_loss
35194868.0,33863612.0
33660408.0,33356508.0
33142452.0,32624142.0
32410442.0,31974148.0
31759282.0,31479862.0
31267054.0,31119492.0
30910024.0,30856892.0
30650564.0,30661980.0
30457200.0,30509634.0
30303852.0,30381158.0
30172288.0,30265220.0
30052252.0,30156872.0
29939590.0,30055204.0
29833900.0,29960048.0
29735484.0,29870046.0
29643046.0,29783608.0
29554834.0,29700490.0
29469752.0,29619100.0
29385700.0,29538368.0
29302242.0,29460274.0
29221398.0,29384558.0
29142908.0,29307480.0
29064124.0,29227058.0
28983984.0,29143982.0
28903322.0,29059202.0
28822982.0,28973546.0
28743446.0,28889182.0
28665734.0,28809200.0
28591240.0,28735236.0
28520152.0,28666168.0
28450376.0,28599296.0
28378666.0,28533408.0
28304100.0,28469598.0
28230084.0,28408264.0
28160562.0,28346504.0
28093782.0,28279918.0
28025048.0,28207050.0
27952906.0,28130578.0
27879204.0,28055018.0
27806636.0,27983108.0
27736446.0,27914014.0
27667516.0,27845398.0
27597508.0,27776388.0
27525798.0,27707850.0
27453826.0,27640612.0
27382844.0,27573140.0
27312478.0,27503026.0
27241942.0,27431116.0
27171538.0,27358438.0
27100312.0,27286548.0
27028048.0,27220228.0
26958214.0,27155860.0
26888618.0,27088906.0
26816150.0,27027486.0
26746222.0,26972308.0
26675966.0,26924028.0
26608398.0,26870728.0
26540782.0,26814710.0
26475488.0,26762952.0
26410402.0,26713102.0
26348472.0,26655518.0
26284626.0,26599618.0
26221904.0,26546416.0
26158586.0,26489370.0
26095318.0,26428242.0
26033300.0,26366284.0
25971070.0,26304406.0
25909856.0,26240470.0
25847952.0,26178772.0
25787478.0,26120910.0
25726976.0,26063672.0
25666886.0,26003758.0
25606342.0,25946506.0
25546588.0,25894122.0
25486690.0,25844168.0
25427152.0,25791114.0
25367602.0,25733678.0
25308250.0,25673952.0
25248826.0,25615338.0
25190038.0,25559250.0
25131320.0,25505514.0
25072840.0,25452510.0
25014598.0,25398386.0
24956384.0,25343292.0
24898524.0,25288734.0
24840670.0,25235304.0
24782926.0,25180702.0
24725310.0,25123666.0
24667772.0,25066834.0
24610508.0,25013188.0
24553306.0,24961760.0
24496278.0,24909220.0
24439374.0,24855444.0
24382602.0,24803240.0
24326002.0,24752266.0
24269474.0,24699882.0
24213082.0,24646128.0
24156848.0,24593514.0
24100758.0,24542208.0
24044854.0,24490254.0
23989052.0,24437884.0
23933442.0,24386226.0
23877952.0,24334336.0
23822628.0,24280938.0
23767420.0,24227778.0
23712344.0,24175406.0
23657418.0,24122654.0
23602622.0,24069102.0
23547972.0,24016896.0
23493444.0,23965710.0
23439064.0,23913508.0
23384806.0,23860728.0
23330702.0,23809520.0
23276712.0,23758620.0
23222878.0,23706152.0
23169168.0,23654518.0
23115602.0,23604100.0
23062170.0,23552686.0
23008874.0,23500636.0
22955720.0,23450250.0
22902682.0,23399252.0
22849784.0,23347318.0
22797018.0,23296736.0
22744388.0,23246234.0
22691882.0,23194646.0
22639512.0,23144278.0
22587270.0,23094246.0
22535166.0,23043184.0
22483190.0,22993310.0
22431340.0,22943780.0
22379622.0,22893224.0
22328030.0,22843780.0
22276560.0,22794532.0
22225216.0,22744498.0
22174010.0,22695820.0
22122906.0,22646574.0
22071940.0,22597582.0
22021088.0,22548984.0
21970354.0,22500302.0
21919748.0,22451446.0
21869256.0,22403962.0
21818876.0,22355074.0
21768620.0,22307440.0
21718476.0,22260300.0
21668454.0,22211640.0
21618550.0,22165028.0
21568750.0,22117508.0
21519072.0,22069978.0
21469520.0,22023848.0
21420080.0,21976186.0
21370764.0,21930214.0
21321562.0,21883182.0
21272490.0,21836702.0
21223542.0,21790222.0
21174714.0,21743676.0
21126014.0,21697282.0
21077436.0,21651342.0
21028992.0,21604698.0
20980662.0,21558896.0
20932456.0,21512602.0
20884364.0,21466418.0
20836398.0,21420818.0
20788558.0,21374254.0
20740826.0,21329152.0
20693218.0,21282716.0
20645722.0,21237626.0
20598338.0,21191580.0
20551080.0,21146480.0
20503934.0,21100996.0
20456898.0,21055816.0
20409990.0,21010816.0
20363194.0,20965840.0
20316506.0,20921072.0
20269932.0,20876154.0
20223476.0,20831926.0
20177138.0,20786782.0
20130908.0,20743360.0
20084800.0,20697612.0
20038818.0,20655244.0
19992966.0,20608644.0
19947230.0,20567672.0
19901642.0,20520004.0
19856198.0,20480412.0
19810880.0,20431686.0
19765610.0,20392422.0
19720328.0,20344394.0
19675014.0,20302842.0
19629826.0,20258490.0
19584860.0,20214382.0
19540148.0,20173488.0
19495570.0,20127646.0
19451054.0,20087100.0
19406548.0,20041426.0
19362064.0,19999288.0
19317708.0,19956020.0
19273534.0,19912090.0
19229524.0,19870600.0
19185594.0,19826220.0
19141712.0,19784598.0
19097888.0,19741276.0
19054182.0,19698682.0
19010612.0,19656938.0
18967154.0,19613600.0
18923784.0,19572180.0
18880482.0,19528986.0
18837252.0,19487078.0
18794118.0,19444854.0
18751080.0,19402400.0
18708164.0,19360766.0
18665316.0,19318438.0
18622544.0,19276766.0
18579862.0,19234810.0
18537266.0,19193000.0
18494758.0,19151358.0
18452336.0,19109458.0
18409998.0,19067738.0
18367726.0,19025822.0
18325542.0,18984164.0
18283436.0,18942496.0
18241402.0,18900678.0
18199466.0,18859194.0
18157598.0,18817620.0
18115786.0,18776192.0
18074050.0,18734540.0
18032394.0,18693036.0
17990826.0,18651710.0
17949344.0,18610250.0
17907906.0,18568680.0
17866536.0,18527290.0
17825232.0,18486080.0
17784020.0,18444830.0
17742888.0,18403694.0
17701820.0,18362356.0
17660822.0,18321692.0
17619890.0,18280504.0
